输入文本,生成问题,改写问题
"[['煤层气地面开采项目', '应当', '按照有关规定进行安全条件论证和安全预评价']]",煤 层 气 地 面 开 采 项 目 应 当 如 何 ？,煤层气地面开采项目应当如何按照安全条件论证和安全预评价的有关规定进行？
"[['安全设施', '属于', '煤层气开采项目']]",安 全 设 施 属 于 哪 里 ？,请问安全设施属于哪个煤层气开采项目？
"[['安全设施', '必须', '与主体工程同时设计、同时施工、同时投入生产和使用']]",安 全 设 施 必 须 与 什 么 工 程 同 步 进 行 ？,安全设施必须与什么工程同时进行？
"[['安全设施投资', '应当', '纳入建设项目概算']]",安 全 设 施 投 资 应 当 怎 么 做 ？,安全设施投资应当如何纳入建设项目概算？
"[['煤层气井钻井、压裂、排采、修井等施工方案', '由', '煤层气企业负责']]",煤 层 气 井 钻 井 、 压 裂 、 排 采 、 修 井 等 施 工 方 案 由 谁 负 责 ？,煤层气井的钻井、压裂、排采、修井等施工方案是由哪些煤层气企业负责的？
"[['煤层气地面开采项目的总体开发方案和煤层气集输管线、站场、供电等工程设计', '应当', '由具有相应资质的单位承担']]",我 想 知 道 煤 层 气 地 面 开 采 项 目 的 总 体 开 发 方 案 是 由 谁 负 责 的 ？,煤层气地面开采项目的总体开发方案由谁负责？
"[['煤层气企业', '应当', '建立健全施工方案的审查制度，严格安全条件的审查']]",请 问 煤 层 气 企 业 应 当 怎 么 做 ？,煤层气企业应当如何建立健全施工方案的审查制度，并严格审查安全条件？
"[['施工方案', '未经', '煤层气企业主要负责人审查同意的，施工单位不得施工']]",你 知 道 施 工 方 案 是 什 么 时 候 吗 ？,请问施工方案在什么情况下需要煤层气企业主要负责人的审查同意？
"[['煤层气地面开采项目的工程施工', '应当', '由具有相应资质的监理单位进行监督']]",请 问 煤 层 气 地 面 开 采 项 目 的 工 程 施 工 应 当 由 哪 个 单 位 负 责 ？,煤层气地面开采项目的工程施工应当由哪个单位负责监督？
"[['监理单位', '应当', '按照国家建设工程监理规范的要求对工程施工质量进行监督。']]",监 理 单 位 应 当 怎 么 做 ？,监理单位在施工过程中应当如何按照国家建设工程监理规范的要求对工程质量进行监督？
"[['煤层气企业', '对', '承包单位的安全生产工作统一协调、管理。']]",请 问 煤 层 气 企 业 对 象 是 什 么 ？,请问煤层气企业对承包单位的安全生产工作统一协调、管理的对象是什么？
"[['煤层气企业', '进行', '工程发包']]",请 问 煤 层 气 企 业 进 行 了 哪 些 工 作 ？,请问煤层气企业进行了哪些工程发包工作？
"[['煤层气企业', '应当', '对承包单位的资质条件和安全生产业绩进行审查']]",请 问 煤 层 气 企 业 应 当 怎 么 做 ？,请问煤层气企业在进行承包单位选择时，应当对承包单位的哪些方面进行审查？
"[['煤层气企业', '应当', '与承包单位签订专门的安全生产管理协议']]",煤 层 气 企 业 应 当 如 何 管 理 ？,煤层气企业应该如何与承包单位签订专门的安全生产管理协议？
"[['煤层气企业', '应当', '在承包合同中约定各自的安全生产管理职责']]",煤 层 气 企 业 应 当 如 何 承 包 ？,请问煤层气企业在承包合同中应当如何约定各自的安全生产管理职责？
"[['煤层气企业', '应当', '经常开展安全生产检查及事故隐患排查']]",请 问 煤 层 气 企 业 应 当 做 什 么 ？,请问煤层气企业应当经常进行哪些安全检查和事故隐患排查？
"[['煤层气企业', '应当', '对发现的安全生产问题和事故隐患，应当立即采取措施进行整改']]",煤 层 气 企 业 应 当 如 何 ？,煤层气企业发现安全生产问题和事故隐患时，应该如何立即采取措施进行整改？
"[['不能立即整改的', '应当', '制定整改方案限期处理']]",不 能 立 即 整 改 的 应 当 怎 么 做 ？,对于那些不能立即整改的问题，我们应该如何制定整改方案并设定期限进行处理呢？
"[['煤层气企业', '应当', '对安全阀、压力表、传感器和监测设备进行定期校验、检定']]",煤 层 气 企 业 应 当 如 何 保 养 ？,煤层气企业应该如何维护保养安全阀、压力表、传感器和监测设备？
"[['煤层气企业的特种设备', '应当', '按照有关规定定期检测']]",煤 层 气 企 业 的 特 种 设 备 应 当 如 何 检 测 ？,煤层气企业的特种设备应当如何按照规定定期进行检测？
"[['煤层气企业', '应当', '建立相应的消防机构']]",煤 层 气 企 业 应 当 怎 么 做 ？,煤层气企业应当建立什么样的消防机构？
"[['煤层气企业', '应当', '配备专职或者兼职消防人员和必要的装备、器材']]",煤 层 气 企 业 应 当 配 备 什 么 ？,煤层气企业应当配备哪些消防人员和装备？
"[['煤层气企业', '应当', '与所在地消防、应急救援机构签订消防救援合同']]",煤 层 气 企 业 应 当 如 何 ？,煤层气企业应当与所在地消防、应急救援机构签订消防救援合同，请问具体应当如何执行？
"[['煤层气企业', '应当', '建立劳动防护用品配备、使用和管理制度']]",煤 层 气 企 业 应 当 怎 样 使 用 ？,煤层气企业应当如何建立并有效管理劳动防护用品的配备和使用制度？
"[['煤层气企业', '应当', '为从业人员提供符合国家标准或者行业标准的劳动防护用品']]",煤 层 气 企 业 应 当 做 什 么 ？,煤层气企业应当为从业人员提供哪些劳动防护用品？
"[['煤层气企业', '应当', '对从业人员进行劳动防护用品使用的培训']]",煤 层 气 企 业 应 当 做 什 么 ？,煤层气企业应当对从业人员进行哪些培训？
"[['煤层气企业', '应当', '指导、教育从业人员正确佩戴和使用劳动防护用品']]",煤 层 气 企 业 应 当 怎 么 做 ？,煤层气企业应该如何指导和教育从业人员正确佩戴和使用劳动防护用品？
"[['煤层气企业', '进行', '电焊、气焊（割）等明火作业或其他可能产生火花的作业']]",煤 层 气 企 业 可 以 进 行 什 么 ？,煤层气企业可以进行哪些作业？
"[['煤层气企业', '应当', '编制专门的安全技术措施']]",煤 层 气 企 业 应 当 做 什 么 ？,煤层气企业应当编制哪些专门的安全技术措施？
"[['编制专门的安全技术措施', '由', '经本企业技术负责人审查批准']]",你 知 道 编 制 专 门 的 安 全 技 术 措 施 是 什 么 吗 ？,请问编制专门的安全技术措施需要经过哪些步骤？
"[['井场、站场内', '严禁', '烟火']]",井 场 、 站 场 内 严 禁 吸 烟 ？,在井场和站场内，为什么严禁烟火？
"[['煤层气企业', '应当', '建立设备管理专人负责制度']]",煤 层 气 企 业 应 当 怎 么 做 ？,煤层气企业应当如何建立设备管理专人负责制度？
"[['设备管理', '应当符合', '安全标志正确、齐全、清晰，设置位置合理']]",设 备 管 理 应 当 符 合 什 么 ？,设备管理应当符合哪些标准？
"[['设备管理', '应当符合', '定期进行巡检、维护和保养，确保设备始终处于完好状态']]",设 备 管 理 应 当 符 合 什 么 ？,设备管理应当符合哪些标准？
"[['设备管理', '应当符合', '机械传动部位安装安全防护栏或者防护罩']]",设 备 管 理 应 当 符 合 什 么 ？,设备管理应当符合哪些安全标准？
"[['设备管理', '应当符合', '按照有关规定对设备进行换季维护保养，防止设备锈蚀、冻裂']]",设 备 管 理 应 当 符 合 什 么 ？,设备管理应当符合哪些规定进行换季维护保养，以防止设备锈蚀和冻裂？
"[['设备管理', '应当符合', '带压设备定期进行试压，合格后方可使用']]",设 备 管 理 应 当 符 合 什 么 ？,设备管理应当符合什么标准？
"[['站场控制室内的气体探测控制仪超限断电后，煤层气企业', '应当', '立即组织专人对相应的设备和室内环境进行检查']]",站 场 控 制 室 内 的 气 体 探 测 控 制 仪 超 限 断 电 后 ， 煤 层 气 企 业 应 当 怎 么 做 ？,煤层气企业在进行气体探测控制仪超限断电后，应该如何立即采取行动？
"[['站场控制室内的气体探测控制仪超限断电后', '严禁', '强行送电、开机']]",站 场 控 制 室 内 的 气 体 探 测 控 制 仪 超 限 断 电 后 严 禁 使 用 ？,气体探测控制仪超限断电后，在站场控制室内严禁进行哪些操作？
"[['煤层气企业', '应当', '对所有生产作业人员和现场监督人员进行硫化氢防护的培训']]",你 知 道 煤 层 气 企 业 应 当 做 什 么 吗 ？,煤层气企业应当对所有生产作业人员和现场监督人员进行哪些培训？
"[['培训内容', '包含', '课堂防护知识和现场实际操作']]",培 训 内 容 包 含 哪 些 ？,请问培训内容具体包括哪些方面？
"[['培训内容', '应当符合', '符合培训时间规定']]",培 训 内 容 应 当 符 合 什 么 ？,请问培训内容应当符合什么规定？
"[['临时作业人员和其他非定期派遣人员', '需要', '硫化氢防护知识的教育']]",临 时 作 业 人 员 和 其 他 非 定 期 派 遣 人 员 需 要 什 么 ？,临时作业人员和其他非定期派遣人员需要哪些硫化氢防护知识的教育？
"[['煤层气企业', '应当', '硫化氢防护知识的教育']]",请 问 煤 层 气 企 业 应 当 做 什 么 ？,煤层气企业应当进行哪些硫化氢防护知识的教育？
"[['在含硫化氢环境中进行生产作业', '应当', '配备固定式和携带式硫化氢监测仪']]",在 含 硫 化 氢 环 境 中 进 行 生 产 作 业 应 当 配 备 什 么 ？,在含有硫化氢的环境中，进行生产作业时，应该配备哪些硫化氢监测仪？
"[['硫化氢监测仪', '应当', '按照有关规定进行定期校验和鉴定']]",硫 化 氢 监 测 仪 应 当 怎 么 做 ？,硫化氢监测仪应当如何按照规定进行定期校验和鉴定？
"[['硫化氢重点监测区域', '应当', '设有醒目的标志']]",硫 化 氢 重 点 监 测 区 域 应 当 设 置 什 么 样 的 标 志 ？,硫化氢重点监测区域应该设置什么样的标志？
"[['硫化氢重点监测区域', '需要', '硫化氢监测探头和报警器']]",硫 化 氢 重 点 监 测 区 域 需 要 什 么 ？,硫化氢重点监测区域需要哪些设备？
"[['煤层气企业', '应当', '按照行业标准《含硫化氢油气井安全钻井推荐作法》（SY/T5087）的规定采取相应的措施']]",煤 层 气 企 业 应 当 采 取 什 么 措 施 ？,煤层气企业需要遵循什么行业标准来确保安全钻井？
"[['煤层气企业', '应当', '配备相应的防护装备']]",煤 层 气 企 业 应 当 怎 么 做 ？,煤层气企业应当如何配备相应的防护装备？
"[['煤层气企业', '应当符合', '在钻井、试井、修井、井下作业以及站场作业中，配备正压式空气呼吸器及与其匹配的空气压缩机']]",煤 层 气 企 业 应 当 符 合 什 么 ？,煤层气企业在钻井、试井、修井、井下作业以及站场作业时，需要满足哪些安全配备要求？
"[['煤层气企业', '应当符合', '有专人管理硫化氢防护装置，确保处于备用状态']]",煤 层 气 企 业 应 当 符 合 什 么 ？,煤层气企业应当符合什么条件？
"[['煤层气企业', '应当符合', '进行检修和抢险作业时，携带硫化氢监测仪和正压式空气呼吸器']]",煤 层 气 企 业 应 当 符 合 什 么 ？,煤层气企业在执行检修和抢险作业时，需要满足哪些安全要求？
"[['在含硫化氢的矿区，场地及设备的布置', '需要', '考虑季节风向']]",在 含 硫 化 氢 的 矿 区 ， 场 地 及 设 备 的 布 置 需 要 什 么 ？,在含硫化氢的矿区，场地及设备的布置需要考虑什么因素？
"[['在含硫化氢的矿区，场地及设备的布置', '应当', '确保有良好的通风条件']]",在 含 硫 化 氢 的 矿 区 ， 场 地 及 设 备 的 布 置 应 当 注 意 什 么 ？,在含有硫化氢的矿区，场地及设备的布置应当注意什么？
"[['在含硫化氢的矿区，场地及设备的布置', '应当', '设置警示标志']]",在 含 硫 化 氢 的 矿 区 ， 场 地 及 设 备 的 布 置 应 当 注 意 什 么 ？,在含有硫化氢的矿区，场地及设备的布置应当注意什么？
"[['在含硫化氢的矿区，场地及设备的布置', '需要', '使用防爆通风设备']]",在 含 硫 化 氢 的 矿 区 ， 场 地 及 设 备 的 布 置 需 要 什 么 ？,在含有硫化氢的矿区，场地及设备的布置需要什么？
"[['在含硫化氢的矿区，场地及设备的布置', '需要', '设置逃生通道及安全区']]",在 含 硫 化 氢 的 矿 区 ， 场 地 及 设 备 的 布 置 需 要 什 么 ？,在含有硫化氢的矿区，场地及设备的布置需要设置哪些安全措施？
"[['在含硫化氢环境中进行钻井、井下作业和煤层气生产以及气体处理所使用的材料及设备', '应当', '适合用于含硫化氢环境']]",在 含 硫 化 氢 环 境 中 进 行 钻 井 、 井 下 作 业 和 煤 层 气 生 产 以 及 气 体 处 理 所 使 用 的 材 料 及 设 备 应 当 怎 么 用 ？,在含硫化氢环境中进行钻井、井下作业和煤层气生产以及气体处理所使用的材料及设备，应该如何使用？
"[['钻井、井下作业的防硫化氢应急预案', '应当', '规定煤层气井点火程序和决策人']]",请 问 钻 井 、 井 下 作 业 的 防 硫 化 氢 应 急 预 案 应 当 做 什 么 ？,钻井和井下作业的防硫化氢应急预案应当包括哪些规定？
"[['在含硫化氢环境中进行生产作业时，煤层气企业', '应当', '制定防硫化氢应急预案']]",在 含 硫 化 氢 环 境 中 进 行 生 产 作 业 时 ， 煤 层 气 企 业 应 当 做 些 什 么 ？,在含硫化氢环境中进行生产作业时，煤层气企业应当采取哪些措施？
"[['煤层气企业在含硫化氢的矿区进行煤层气井钻井', '应当符合', '地质及工程设计考虑硫化氢防护的特殊要求']]",我 想 知 道 煤 层 气 企 业 在 含 硫 化 氢 的 矿 区 钻 井 应 当 符 合 什 么 ？,请问煤层气企业在含硫化氢的矿区进行煤层气井钻井时，需要遵循哪些特殊的地质及工程设计要求？
"[['煤层气企业在含硫化氢的矿区进行煤层气井钻井', '应当符合', '采取防喷措施，防喷器组及其管线闸门和附件能够满足预期的井口压力']]",请 问 煤 层 气 企 业 在 含 硫 化 氢 的 矿 区 进 行 钻 井 应 当 符 合 什 么 条 件 ？,请问在含硫化氢的矿区进行煤层气井钻井的煤层气企业需要满足哪些安全措施？
"[['煤层气企业在含硫化氢的矿区进行煤层气井钻井', '应当符合', '井场内禁止烟火，并采取控制硫化氢着火的措施']]",请 问 煤 层 气 企 业 在 含 硫 化 氢 的 矿 区 进 行 钻 井 应 当 符 合 什 么 条 件 ？,煤层气企业在含硫化氢的矿区进行钻井时，需要遵守哪些安全规定？
"[['煤层气企业在含硫化氢的矿区进行煤层气井钻井', '应当符合', '使用适合于含硫化氢地层的钻井液，并监测、控制钻井液pH值']]",请 问 煤 层 气 企 业 在 含 硫 化 氢 的 矿 区 进 行 钻 井 应 当 符 合 什 么 ？,在含硫化氢的矿区进行煤层气井钻井时，煤层气企业应当遵循哪些具体要求？
"[['煤层气企业在含硫化氢的矿区进行煤层气井钻井', '应当符合', '在含硫化氢地层取芯和进行测试作业时，采取有效的防硫化氢措施']]",请 问 煤 层 气 企 业 在 含 硫 化 氢 的 矿 区 进 行 钻 井 应 当 符 合 什 么 ？,在含硫化氢的矿区进行煤层气井钻井时，煤层气企业应当遵循哪些防硫化氢措施？
"[['在煤层气企业含硫化氢的煤层气井进行井下作业', '应当符合', '采取防喷措施']]",我 想 知 道 在 煤 层 气 企 业 含 硫 化 氢 的 井 下 作 业 应 当 符 合 什 么 ？,在煤层气企业含硫化氢的煤层气井进行井下作业时，需要符合哪些防喷措施？
"[['在煤层气企业含硫化氢的煤层气井进行井下作业', '应当符合', '采取控制硫化氢着火的措施']]",我 想 知 道 在 煤 层 气 企 业 含 硫 化 氢 的 井 下 作 业 应 当 符 合 什 么 ？,在煤层气企业含硫化氢的煤层气井进行井下作业时，需要符合哪些控制硫化氢着火的措施？
"[['在煤层气企业含硫化氢的煤层气井进行井下作业', '应当符合', '当发生修井液气侵，硫化氢气体逸出时，立即通过分离系统分离或者采取其他处理措施']]",我 想 知 道 在 煤 层 气 企 业 含 硫 化 氢 的 井 下 作 业 应 当 符 合 什 么 ？,在煤层气企业含硫化氢的煤层气井进行井下作业时，应当符合什么标准？
"[['在煤层气企业含硫化氢的煤层气井进行井下作业', '应当符合', '进入盛放修井液的密闭空间或者限制通风区域，可能产生硫化氢气体时，采取相应的人身安全防护措施']]",在 煤 层 气 企 业 含 硫 化 氢 的 煤 层 氣 井 进 行 井 下 作 业 应 当 符 合 什 么 ？,在煤层气企业含有硫化氢的煤层气井进行井下作业时，应当遵循哪些安全防护措施？
"[['在煤层气企业含硫化氢的煤层气井进行井下作业', '应当符合', '进行对射孔作业、压裂作业等特殊作业时，采取硫化氢防护措施']]",我 想 知 道 在 煤 层 气 企 业 含 硫 化 氢 的 井 下 作 业 应 当 符 合 什 么 ？,在煤层气企业含硫化氢的煤层气井进行特殊作业时，需要采取哪些硫化氢防护措施？
"[['在进行含硫化氢的煤层气生产和气体处理作业时，煤层气企业', '应当', '对煤层气处理装置的腐蚀进行监测和控制']]",你 知 道 在 进 行 含 硫 化 氢 的 煤 层 气 生 产 和 气 体 处 理 作 业 时 ， 哪 些 企 业 应 当 注 意 什 么 ？,在进行含硫化氢的煤层气生产和气体处理作业时，哪些企业需要特别关注煤层气处理装置的腐蚀监测和控制？
"[['在进行含硫化氢的煤层气生产和气体处理作业时，煤层气企业', '应当', '对可能的硫化氢泄漏进行检测']]",你 知 道 在 进 行 含 硫 化 氢 的 煤 层 气 生 产 和 气 体 处 理 作 业 时 ， 哪 些 企 业 应 当 注 意 什 么 吗 ？,在进行含硫化氢的煤层气生产和气体处理作业时，哪些企业应当注意什么？
"[['在进行含硫化氢的煤层气生产和气体处理作业时，煤层气企业', '应当', '制定硫化氢防护措施']]",你 知 道 在 进 行 含 硫 化 氢 的 煤 层 气 生 产 和 气 体 处 理 作 业 时 ， 哪 些 企 业 应 当 注 意 什 么 ？,在进行含硫化氢的煤层气生产和气体处理作业时，哪些企业需要制定硫化氢防护措施？
"[['作业人员', '应当', '携带正压式空气呼吸器']]",作 业 人 员 应 该 如 何 保 养 ？,作业人员在作业时应该如何正确佩戴和保养正压式空气呼吸器？
"[['含硫化氢煤层气井废弃时，煤层气企业', '应当', '考虑废弃方法和封井的条件']]",我 想 知 道 含 硫 化 氢 煤 层 气 井 废 弃 时 ， 哪 些 企 业 应 当 考 虑 ？,含硫化氢煤层气井废弃时，哪些企业需要考虑废弃方法和封井条件？
"[['含硫化氢煤层气井废弃时，煤层气企业', '应当', '使用水泥封隔产出硫化氢的地层']]",我 想 知 道 含 硫 化 氢 煤 层 气 井 废 弃 时 ， 哪 些 企 业 应 当 注 意 ？,含硫化氢煤层气井废弃时，哪些企业需要特别注意使用水泥封隔产出硫化氢的地层？
"[['埋地管线、地面流程管线废弃时', '应当', '经过吹扫净化、封堵塞或者加盖帽']]",请 问 埋 地 管 线 、 地 面 流 程 管 线 废 弃 时 应 当 经 过 什 么 处 理 ？,埋地管线、地面流程管线废弃时，应当经过哪些处理步骤？
"[['容器', '应当', '用清水冲洗、吹扫并排干，敞开在大气中']]",你 知 道 容 器 应 该 如 何 保 存 吗 ？,请问容器应该如何正确保存？
"[['容器', '需要', '采取防止铁的硫化物燃烧的措施']]",请 问 容 器 需 要 什 么 ？,请问容器需要采取哪些措施来防止铁的硫化物燃烧？
"[['煤层气企业编写工程设计方案前', '应当', '充分收集有关资料']]",煤 层 气 企 业 编 写 工 程 设 计 方 案 前 应 当 注 意 什 么 ？,煤层气企业在编写工程设计方案前，应当注意哪些准备工作？
"[['煤层气企业编写工程设计方案前', '应当', '对作业现场及其周边环境进行调研']]",请 问 煤 层 气 企 业 编 写 工 程 设 计 方 案 前 应 当 做 什 么 工 作 ？,煤层气企业在编写工程设计方案之前，应该对作业现场及其周边环境进行哪些调研工作？
"[['煤层气企业编写工程设计方案前', '应当', '进行危险源辨识和风险评价']]",煤 层 气 企 业 编 写 工 程 设 计 方 案 前 应 当 注 意 什 么 ？,煤层气企业在编写工程设计方案前，应当注意哪些事项？
"[['煤层气井', '不得', '布置在滑坡、崩塌、泥石流等地质灾害易发地带']]",煤 层 气 井 不 得 安 装 在 什 么 地 方 ？,煤层气井不能布置在哪些地质灾害易发地带？
"[['气井井口与周围建（构）筑物、设施的间距', '应当', '符合行业标准《煤层气地面开采防火防爆安全规程》（AQ1081）的规定']]",气 井 井 口 与 周 围 建 （ 构 ） 筑 物 、 设 施 的 间 距 应 当 怎 么 做 ？,气井井口与周围建（构）筑物、设施的间距应当遵循什么标准？
"[['钻井作业', '条件下', '生活区、值班房']]",钻 井 作 业 在 什 么 条 件 下 ？,钻井作业在什么条件下需要设置生活区与值班房？
"[['生活区、值班房', '应当', '置于井架侧面，且处于最小频率风向的下风侧']]",请 问 生 活 区 、 值 班 房 应 当 置 于 哪 个 位 置 ？,生活区、值班房应该放在哪里？
"[['生活区、值班房', '应当', '与井口的间距不小于10米']]",你 知 道 生 活 区 、 值 班 房 的 井 口 距 离 多 少 吗 ？,请问生活区、值班房的井口距离应该保持多少米以上？
"[['钻井作业', '条件下', '井场发电房与柴油罐的间距']]",钻 井 作 业 在 什 么 条 件 下 ？,在钻井作业的条件下，井场发电房与柴油罐的间距是多少？
"[['井场发电房与柴油罐的间距', '应当', '不小于5米']]",井 场 发 电 房 与 柴 油 罐 的 间 距 应 该 多 少 ？,井场发电房与柴油罐的间距应该达到多少米？
"[['井控装置的远程控制台', '应当', '安装在井架大门侧前方、距井口不少于25米的专用活动房内']]",井 控 装 置 的 远 程 控 制 台 应 当 怎 么 安 装 ？,井控装置的远程控制台应该如何正确安装？
"[['井控装置的远程控制台', '应当', '在周围保持2米以上的行人通道']]",井 控 装 置 的 远 程 控 制 台 应 当 怎 么 做 ？,井控装置的远程控制台应该如何设置以确保周围有2米以上的行人通道？
"[['专用活动房', '属于', '井架大门侧前方、距井口不少于25米']]",你 知 道 专 用 活 动 房 属 于 哪 里 吗 ？,请问专用活动房位于哪里？
"[['专用活动房', '需要', '在周围保持2米以上的行人通道']]",专 用 活 动 房 需 要 什 么 ？,请问专用活动房需要什么条件？
"[['钻井工程地质设计', '应当', '收集区域地质资料']]",请 问 钻 井 工 程 地 质 设 计 应 当 做 什 么 ？,钻井工程地质设计应当收集哪些区域地质资料？
"[['钻井工程地质设计', '应当', '确定各含水层组深度']]",请 问 钻 井 工 程 地 质 设 计 应 当 做 什 么 ？,钻井工程地质设计应当确定哪些含水层的深度？
"[['钻井工程地质设计', '应当', '制定相应的安全措施']]",钻 井 工 程 地 质 设 计 应 当 注 意 什 么 ？,在进行钻井工程地质设计时，应当制定哪些安全措施？
"[['钻机及配套设备', '应当', '满足钻井设计的要求']]",钻 机 及 配 套 设 备 应 当 如 何 ？,钻机及配套设备应当满足哪些要求？
"[['钻机的额定钻进深度', '应当', '大于钻井深度']]",钻 机 的 额 定 钻 进 深 度 应 该 是 多 少 ？,钻机的额定钻进深度应该达到多少才合适？
"[['井架提升能力', '应当', '满足钻具重量、地质条件的要求']]",井 架 提 升 能 力 应 当 如 何 ？,井架提升能力应当满足哪些要求？
"[['动力设施', '应当', '满足钻机、泥浆泵、排水泵等设施所需功率']]",动 力 设 施 应 当 如 何 ？,动力设施应当满足哪些设施的功率需求？
"[['钻井工艺技术', '应当', '有利于保护煤储层']]",请 问 钻 井 工 艺 技 术 应 当 用 于 什 么 ？,钻井工艺技术应当用于什么方面？
"[['钻井工艺技术', '应当', '制定井漏、井涌、井喷、井塌、卡钻、防斜等复杂情况的安全技术措施']]",请 问 钻 井 工 艺 技 术 应 当 采 用 什 么 技 术 ？,钻井工艺技术应当制定哪些复杂情况的安全技术措施？
"[['套管系列设计', '应当', '能够保证施工安全']]",请 问 套 管 系 列 设 计 应 当 做 什 么 ？,请问套管系列设计应当如何确保施工安全？
"[['表层套管', '应当', '至少下到稳定基岩内10米']]",表 层 套 管 应 该 如 何 保 存 ？,表层套管应当至少下到稳定基岩内多少米？
"[['探井设计', '应当', '参考本地区钻井所采用的井身结构']]",你 知 道 探 井 设 计 应 当 怎 么 做 吗 ？,探井设计应当参考哪些地区钻井采用的井身结构？
"[['井径', '应当', '留有余地']]",请 问 井 径 应 当 做 什 么 ？,请问井径应当留有余地吗？
"[['固井作业设计', '应当', '保证后续增产作业施工的安全']]",固 井 作 业 设 计 应 当 做 什 么 ？,固井作业设计应当保证什么？
"[['套管柱', '应当', '进行强度设计']]",你 知 道 套 管 柱 应 当 怎 么 做 吗 ？,请问套管柱应当如何进行强度设计？
"[['套管柱', '应当', '综合考虑内应力、挤应力和拉应力']]",请 问 套 管 柱 应 当 用 于 什 么 ？,请问套管柱在设计和应用时应当综合考虑哪些应力因素？
"[['套管柱', '应当', '满足后续作业的需要']]",请 问 套 管 柱 应 当 用 于 什 么 ？,请问套管柱应当用于什么场合？
"[['设计方案', '应当', '对各种复杂情况提出预防和处理措施']]",你 知 道 设 计 方 案 应 当 怎 么 做 吗 ？,请问设计方案应当如何对各种复杂情况提出预防和处理措施？
"[['煤层气企业', '应当', '建立测井安全操作管理和事故处理措施']]",煤 层 气 企 业 应 当 怎 么 做 ？,煤层气企业应当建立哪些安全操作管理和事故处理措施？
"[['煤层气企业', '应当', '对放射源等危险物品的储存、运输、使用和防护作出特别规定']]",你 知 道 煤 层 气 企 业 应 当 做 什 么 吗 ？,煤层气企业应当对哪些危险物品的储存、运输、使用和防护作出特别规定？
"[['煤层气企业', '应当', '建立爆炸物品运输和使用、爆炸器材存储和销毁、废旧爆炸物品安全销毁的管理制度']]",煤 层 气 企 业 应 当 如 何 管 理 ？,煤层气企业应当如何建立和管理爆炸物品运输、使用、存储、销毁以及废旧爆炸物品的安全销毁制度？
"[['煤层气企业', '应当', '建立防止地面爆炸、施工深度错误、炸枪（卡枪）及炸坏套管的安全防范和处理措施']]",煤 层 气 企 业 应 当 如 何 防 范 ？,煤层气企业应当采取哪些安全防范措施来预防地面爆炸、施工深度错误、炸枪（卡枪）及炸坏套管等问题？
"[['所选压裂井口的耐压等级', '应当', '大于设计的最高井口压力']]",请 问 所 选 压 裂 井 口 的 耐 压 等 级 应 当 具 有 什 么 功 能 ？,所选压裂井口的耐压等级应当具备什么功能？
"[['煤层气企业', '应当', '建立砂堵、砂卡、设备损坏等事故的应急处理措施']]",煤 层 气 企 业 应 当 如 何 处 理 ？,煤层气企业应当建立哪些应急处理措施来应对砂堵、砂卡、设备损坏等事故？
"[['泵车组安全阀的设定压力值', '不得', '超过生产套管抗内压强度的80%']]",你 知 道 泵 车 组 安 全 阀 的 设 定 压 力 值 是 多 少 吗 ？,请问泵车组安全阀的设定压力值是多少？
