输入文本,生成问题,改写问题
"[['下井仪器遇阻时，操作人员', '严禁', '遇阻强冲']]",下 井 仪 器 遇 阻 时 ， 操 作 人 员 严 禁 吸 烟 ？,下井仪器遇阻时，操作人员严禁做什么？
"[['下井仪器遇卡时，操作人员', '应当', '立即停车']]",下 井 仪 器 遇 卡 时 ， 操 作 人 员 应 当 怎 么 做 ？,下井仪器遇卡时，操作人员应该如何应对？
"[['下井仪器遇卡时，操作人员', '应当', '缓慢上下活动']]",下 井 仪 器 遇 卡 时 ， 操 作 人 员 应 当 怎 么 做 ？,下井仪器遇卡时，操作人员应该如何操作？
"[['下井仪器遇卡时，操作人员', '应当', '迅速研究具体的处理措施']]",下 井 仪 器 遇 卡 时 ， 操 作 人 员 应 当 怎 么 做 ？,下井仪器遇卡时，操作人员应该如何迅速研究具体的处理措施？
"[['仪器', '应当', '井底及裸眼井段静止时间不得超过1分钟']]",你 知 道 仪 器 应 该 用 什 么 吗 ？,请问仪器在井底及裸眼井段静止时间不得超过1分钟时应该使用什么？
"[['仪器工作结束后，操作人员', '应当', '将各操纵部件恢复到安全位置']]",请 问 仪 器 工 作 结 束 后 ， 操 作 人 员 应 当 做 些 什 么 ？,仪器工作结束后，操作人员应该怎样做？
"[['仪器工作结束后，操作人员', '严禁', '在通电状态下搬运仪器设备和拔、插接线']]",请 问 仪 器 工 作 结 束 后 ， 操 作 人 员 严 禁 使 用 电 磁 炉 ？,仪器工作结束后，操作人员严禁在通电状态下搬运仪器设备和拔、插接线，请问操作人员在操作电磁炉时需要注意什么？
"[['夜间施工时，井场', '应当', '保障照明良好']]",夜 间 施 工 时 ， 井 场 应 当 怎 么 做 ？,夜间施工时，井场应该如何确保照明良好？
"[['遇有七级以上大风、暴雨、雷电、大雾等恶劣天气，煤层气企业', '应当', '暂停测井作业']]",遇 有 七 级 以 上 大 风 、 暴 雨 、 雷 电 、 大 雾 等 恶 劣 天 气 ， 煤 层 气 企 业 应 当 怎 么 做 ？,在遇到七级以上大风、暴雨、雷电或大雾等恶劣天气时，煤层气企业应该如何应对，特别是暂停哪些作业？
"[['遇有七级以上大风、暴雨、雷电、大雾等恶劣天气，煤层气企业', '应当', '将仪器起入套管内，并关闭仪器电源']]",遇 有 七 级 以 上 大 风 、 暴 雨 、 雷 电 、 大 雾 等 恶 劣 天 气 ， 煤 层 气 企 业 应 当 如 何 ？,在遇到七级以上大风、暴雨、雷电、大雾等恶劣天气时，煤层气企业应该如何操作？
"[['测井作业', '应当', '采取相应防护措施']]",测 井 作 业 应 当 注 意 什 么 ？,在进行测井作业时，我们应该采取哪些防护措施呢？
"[['测井作业', '需要', '测井方案']]",测 井 作 业 需 要 什 么 ？,进行测井作业需要哪些测井方案？
"[['测井方案，待批准后方可', '进行', '测井作业']]",测 井 方 案 ， 待 批 准 后 方 可 进 行 ？,请问测井方案需要经过哪些步骤才能进行测井作业？
"[['放射源', '必须', '存放在专用源库中']]",请 问 放 射 源 必 须 存 在 什 么 地 方 ？,请问放射源必须存放在哪里？
"[['专用源库', '应当符合', '国家有关油（气）田测井用密封型放射源卫生防护标准']]",专 用 源 库 应 当 符 合 什 么 ？,请问专用源库需要符合哪些国家卫生防护标准？
"[['煤层气企业', '应当', '建立健全放射源的使用档案及领用、保管制度']]",煤 层 气 企 业 应 当 如 何 保 管 ？,煤层气企业应该如何建立并维护好放射源的使用档案及领用、保管制度？
"[['施工区', '应当', '建立临时源库']]",施 工 区 应 当 怎 么 做 ？,施工区应当如何建立临时源库？
"[['源库', '应当', '设有警戒标志并有防盗、防丢失措施']]",请 问 源 库 应 当 用 于 什 么 ？,源库应当用于什么场合？
"[['运输放射源的防护容器', '应当', '加锁']]",运 输 放 射 源 的 防 护 容 器 应 当 怎 么 做 ？,运输放射源的防护容器应该如何加锁？
"[['运输放射源的防护容器', '应当', '标示放射性核素名称、活度、电离辐射警告标志']]",运 输 放 射 源 的 防 护 容 器 应 当 如 何 保 存 ？,运输放射源的防护容器应该如何正确地进行标记？
"[['运输放射源的防护容器', '应当', '标示容器的编号']]",运 输 放 射 源 的 防 护 容 器 应 当 如 何 ？,运输放射源的防护容器应当如何标示容器的编号？
"[['防护容器、运源车内及车附近的剂量当量率', '应当符合', '国家有关油（气）田测井用密封型放射源卫生防护标准的要求']]",防 护 容 器 、 运 源 车 内 及 车 附 近 的 剂 量 当 量 率 符 合 什 么 ？,请问防护容器、运源车内及车附近的剂量当量率应当符合什么标准？
"[['放射源', '必须', '专车运输、专人押运']]",我 想 知 道 放 射 源 需 要 什 么 ？,请问运输放射性物质需要哪些特殊措施？
"[['放射源', '必须', '中途停车、住宿时应当有专人监护']]",请 问 放 射 源 必 须 具 备 什 么 条 件 ？,请问运输放射源时，中途停车或住宿时必须具备什么条件？
"[['运源车', '严禁', '搭乘无关人员和押运生活消费品']]",运 源 车 严 禁 乘 坐 ？,运源车严禁搭乘哪些人员？
"[['采取足够安全防护措施的运源车', '严禁', '进入人口密集区和在公共停车场停留']]",你 知 道 采 取 足 够 安 全 防 护 措 施 的 运 源 车 是 严 禁 的 吗 ？,请问采取足够安全防护措施的运源车是否被禁止进入人口密集区和在公共停车场停留？
"[['煤层气企业', '必须', '根据辐射水平或者放射性污染的可能范围划出警戒区']]",请 问 煤 层 气 企 业 必 须 具 备 什 么 ？,请问煤层气企业必须具备什么条件来划定警戒区？
"[['警戒区', '应当', '设置电离辐射警告标志，设专人监护']]",请 问 警 戒 区 应 当 做 什 么 ？,警戒区应当设置哪些措施以确保安全？
"[['煤层气企业', '应当', '定期对从事放射性工作的人员进行个人剂量监测和职业健康检查']]",请 问 煤 层 气 企 业 应 当 做 什 么 ？,请问煤层气企业应当定期对从事放射性工作的人员进行哪些检查？
"[['煤层气企业', '应当', '建立个人剂量档案和职业健康监护档案']]",煤 层 气 企 业 应 当 怎 么 做 ？,煤层气企业应当建立哪些档案？
"[['如被确认为放射损伤者，煤层气企业', '应当', '将其调离放射性工作并及时治疗']]",如 被 确 认 为 放 射 损 伤 者 ， 煤 层 气 企 业 应 当 如 何 ？,如果煤层气企业确认有员工遭受放射性损伤，应该如何处理？
"[['拟参加放射性工作的人员', '必须', '经过体检']]",拟 参 加 放 射 性 工 作 的 人 员 必 须 经 过 什 么 检 查 ？,拟参加放射性工作的人员必须经过什么检查？
"[['测井施工人员', '应当', '按照辐射防护的时间、距离、屏蔽原则，采取最优化的辐射防护方式']]",测 井 施 工 人 员 应 当 如 何 保 护 ？,测井施工人员在执行工作时，应该如何遵循辐射防护的最佳实践？
"[['必须裸露使用放射源时', '应当', '使用专用工具']]",必 须 裸 露 使 用 放 射 源 时 应 当 注 意 什 么 ？,在必须裸露使用放射源时，我们应当使用哪些专用工具来确保安全？
"[['放射性液体和固体废物', '应当', '收集在贮存设施内封存']]",放 射 性 液 体 和 固 体 废 物 应 当 收 集 在 什 么 地 方 ？,放射性液体和固体废物应该怎样处理？
"[['放射性液体和固体废物', '应当', '定期上交当地环境保护行政主管部门处理']]",放 射 性 液 体 和 固 体 废 物 应 当 如 何 保 管 ？,放射性液体和固体废物应该如何定期上交当地环境保护行政主管部门处理？
"[['放射源的调拨、处理、转让、废弃处理，以及遇有放射源被盗、遗失等放射性事故时，煤层气企业', '必须', '按照《放射性同位素与射线装置安全和防护条例》和《放射事故管理规定》的规定进行妥善处理']]",请 问 放 射 源 的 调 拨 、 处 理 、 转 让 、 废 弃 处 理 ， 需 要 按 照 什 么 规 定 进 行 妥 善 处 理 ？,在煤层气企业中，如果发生放射源被盗、遗失等放射性事故，或者需要进行放射源的调拨、处理、转让、废弃处理，应该遵循哪些规定来确保妥善处理？
"[['放射源掉入井内的，煤层气企业', '应当', '及时打捞']]",放 射 源 掉 入 井 内 的 ， 煤 层 气 企 业 应 当 怎 么 做 ？,如果放射源掉入井内，煤层气企业应该如何及时处理？
"[['放射源掉入井内的，煤层气企业', '应当', '指定专人负责实施']]",放 射 源 掉 入 井 内 的 ， 煤 层 气 企 业 应 当 怎 么 做 ？,当放射源意外掉入井内时，煤层气企业应该如何处理？
"[['放射工作场所', '严禁', '吸烟、进食和饮水']]",请 问 放 射 工 作 场 所 严 禁 吸 烟 ？,请问在放射工作场所严禁哪些行为？
"[['射孔作业前', '必须', '通井']]",射 孔 作 业 前 必 须 做 什 么 ？,在执行射孔作业之前，必须完成哪些准备工作？
"[['装配现场', '严禁', '其他人员进入，严禁吸烟和使用明火']]",请 问 装 配 现 场 严 禁 吸 烟 ？,请问装配现场是否允许吸烟？
"[['射孔作业现场周围的车辆、人员', '不得', '使用无线电通信设备']]",射 孔 作 业 现 场 周 围 的 车 辆 、 人 员 不 得 进 出 ？,射孔作业现场周围的车辆、人员不得使用无线电通信设备，请问这是否意味着他们不能在现场使用无线电设备？
"[['装配时，操作人员', '应当', '站在射孔枪的安全方位']]",请 问 装 配 时 ， 操 作 人 员 应 当 做 什 么 ？,装配时，操作人员应该站在哪里？
"[['煤层气企业在井口进行接线时', '应当', '将枪身全部下入井内，电缆芯对地短路放电后方可接通']]",你 知 道 煤 层 气 企 业 在 井 口 进 行 接 线 时 应 当 注 意 什 么 吗 ？,煤层气企业在井口进行接线时需要注意什么？
"[['未起爆的枪身', '应当', '在断开引线并做好绝缘后，方可起出井口']]",未 起 爆 的 枪 身 应 当 怎 么 做 ？,未起爆的枪身在取出井口之前应该如何处理？
"[['未起爆的枪身或者已装好的枪身不再进行施工时', '应当', '在圈闭相应的作业区域内及时拆除雷管和射孔弹']]",我 想 知 道 未 起 爆 的 枪 身 或 者 已 装 好 的 槍 身 不 再 进 行 施 工 时 应 当 做 什 么 ？,未起爆的枪身或者已装好的枪身不再进行施工时，应该如何处理？
"[['使用过的射孔弹、雷管', '不得', '再次使用']]",你 知 道 使 用 过 的 射 孔 弹 、 雷 管 可 以 干 什 么 吗 ？,使用过的射孔弹、雷管可以再次使用吗？
"[['撞击式井壁取心器炸药的使用', '应当', '遵守国家有关火工品安全管理的规定']]",撞 击 式 井 壁 取 心 器 炸 药 的 使 用 应 当 遵 守 什 么 ？,撞击式井壁取心器炸药的使用应当遵守哪些国家关于火工品安全管理的规定？
"[['检测雷管时，检测人员', '应当', '使用爆破欧姆表测量']]",你 知 道 检 测 雷 管 时 ， 检 测 人 员 应 当 怎 么 做 吗 ？,检测雷管时，检测人员应该使用什么工具进行测量？
"[['下深超过70米时', '允许', '接通电源']]",下 深 超 过 70 米 时 允 许 什 么 ？,下深超过70米时允许接通电源吗？
"[['大雾、雷雨、七级风以上（含七级）天气及夜间', '不得', '进行射孔和井壁取心作业']]",大 雾 、 雷 雨 、 七 级 风 以 上 （ 含 七 级 ） 天 气 及 夜 间 不 得 ？,在大雾、雷雨、七级风以上（含七级）天气及夜间，什么作业是被禁止的？
"[['施工结束返回后，施工人员', '应当', '直接将剩余火工品送交库房，并与保管员办理交接手续']]",施 工 结 束 返 回 后 ， 施 工 人 员 应 当 怎 么 做 ？,施工结束后，施工人员应该如何处理剩余的火工品？
"[['爆炸物品的销毁', '应当', '符合国家有关石油射孔和井壁取心用爆炸物品销毁标准的规定']]",爆 炸 物 品 的 销 毁 应 当 符 合 什 么 规 定 ？,爆炸物品的销毁应当遵循哪些国家规定？
"[['井场', '应当', '具备能摆放压裂设备并方便作业的足够面积']]",井 场 应 当 具 备 什 么 ？,井场应当具备哪些条件？
"[['井场', '应当', '设有明确的安全警示标志']]",井 场 应 当 设 置 在 什 么 地 方 ？,井场应当设置在哪些地方？
"[['施工作业前，施工人员', '应当', '详细了解井场内地下管线及电缆分布情况']]",请 问 施 工 作 业 前 ， 施 工 人 员 应 当 做 什 么 工 作 ？,在施工作业前，施工人员需要做哪些准备工作？
"[['施工作业前，施工人员', '应当', '按照设计要求做好施工前准备']]",施 工 作 业 前 ， 施 工 人 员 应 当 怎 么 做 ？,在施工作业前，施工人员应该如何按照设计要求做好准备工作？
"[['新井、一年内未进行任何作业的老井', '应当', '进行通井']]",新 井 、 一 年 内 未 进 行 任 何 作 业 的 老 井 应 当 怎 么 做 ？,新井、一年内未进行任何作业的老井应该如何处理？
"[['通井时遇到异常情况的，施工人员', '应当', '在采取有效措施后方可继续作业']]",通 井 时 遇 到 异 常 情 况 的 施 工 人 员 应 当 怎 么 做 ？,在通井时遇到异常情况时，施工人员应该如何处理？
"[['压裂设备、井口装置和地面管汇', '应当', '满足压裂施工工艺和压力要求']]",压 裂 设 备 、 井 口 装 置 和 地 面 管 汇 应 当 怎 么 做 ？,压裂设备、井口装置和地面管汇在压裂施工中应当满足哪些具体要求？
"[['压裂施工所用高压泵安全销子的剪断压力', '不得', '超过高压泵额定最高工作压力']]",压 裂 施 工 所 用 高 压 泵 安 全 销 子 的 剪 断 压 力 要 求 是 什 么 ？,压裂施工所用高压泵的安全销子，其剪断压力的要求是多少？
"[['井口', '应当', '用专用支架或者其他方式固定']]",井 口 应 该 如 何 保 养 ？,井口应该如何保养？
"[['高压管线长度每间隔8米时', '应当', '有固定高压管线的措施']]",高 压 管 线 长 度 每 间 隔 8 米 时 应 当 做 什 么 ？,高压管线长度每间隔8米时，应该采取哪些固定措施？
"[['以井口10米为半径，沿泵车出口至井口地面流程两侧10米为边界', '设置', '高压危险区']]",请 问 以 井 口 10 米 为 半 径 ， 沿 泵 车 出 口 至 井 口 地 面 流 程 两 侧 10 米 的 边 界 设 置 了 什 么 ？,请问在以井口10米为半径，沿泵车出口至井口地面流程两侧10米的边界上，设置了什么？
"[['高压危险区', '应当', '使用专用安全带设置封闭的安全警戒线']]",高 压 危 险 区 应 当 怎 么 做 ？,在高压危险区，我们应该采取哪些安全措施？
"[['摆放设备时，煤层气企业', '应当', '安排好混砂车与管汇车、管汇车与压裂泵车、压裂泵车距井口的距离']]",摆 放 设 备 时 ， 煤 层 气 企 业 应 当 怎 么 做 ？,摆放设备时，煤层气企业应该如何安排混砂车与管汇车、管汇车与压裂泵车、压裂泵车与井口之间的距离？
"[['仪表车', '应当', '安放在能看到井口、视野开阔的地点']]",你 知 道 仪 表 车 应 当 放 在 什 么 地 方 吗 ？,请问仪表车应该安放在哪里？
"[['压裂施工', '必须', '在白天进行']]",压 裂 施 工 必 须 在 什 么 时 候 进 行 ？,压裂施工必须在哪一天进行？
"[['煤层气企业', '应当', '对压裂施工进行统一指挥']]",请 问 煤 层 气 企 业 应 当 做 什 么 ？,请问煤层气企业在进行压裂施工时应当如何统一指挥？
"[['指挥员', '应当', '随时掌握施工动态，保持通讯系统畅通']]",你 知 道 指 挥 员 应 当 做 什 么 吗 ？,指挥员在施工过程中应该承担哪些职责以确保通讯系统的正常运行？
"[['煤层气企业在施工前', '应当', '召开安全会']]",请 问 煤 层 气 企 业 在 施 工 前 应 当 做 什 么 ？,煤层气企业在施工前应当进行哪些准备工作？
"[['煤层气企业在施工前', '应当', '提出安全要求']]",煤 层 气 企 业 在 施 工 前 应 当 注 意 什 么 ？,煤层气企业在施工前应当注意哪些安全要求？
"[['煤层气企业在施工前', '应当', '明确安全阀限定值']]",煤 层 气 企 业 在 施 工 前 应 当 注 意 什 么 ？,煤层气企业在施工前应当注意什么？
"[['煤层气企业在施工前', '应当符合', '检查压裂设备、校对仪表，确保压裂主机及辅机的工作状况良好，待修或者未达到施工要求的设备不得参加施工']]",煤 层 气 企 业 在 施 工 前 应 当 符 合 什 么 ？,煤层气企业在施工前应当符合哪些要求？
"[['煤层气企业在施工前', '应当符合', '按照设计要求试压合格，各部阀门应当灵活好用。设备和管线泄漏时，应当在停泵、泄压后方可检修']]",煤 层 气 企 业 在 施 工 前 应 当 符 合 什 么 ？,煤层气企业在施工前应当符合什么要求？
"[['煤层气企业在施工前', '应当符合', '压裂车逐台逐挡充分循环排空，排净残液、余砂。']]",煤 层 气 企 业 在 施 工 前 应 当 符 合 什 么 ？,煤层气企业在施工前应当符合哪些具体要求？
"[['施工期间煤层气企业', '应当', '派专人负责巡视边界']]",施 工 期 间 煤 层 气 企 业 应 当 怎 么 做 ？,施工期间，煤层气企业应该如何安排专人负责巡视边界？
"[['井场', '严禁', '非施工人员进入']]",井 场 严 禁 什 么 ？,井场严禁哪些人进入？
"[['高压区', '必须', '设有警戒']]",高 压 区 必 须 是 什 么 ？,请问高压区必须设置什么？
"[['无关人员', '不得', '进入']]",无 关 人 员 不 得 进 入 ？,无关人员不得进入，请问这表示什么？
"[['施工中进出井场的车辆排气管', '应当', '安装阻火器']]",施 工 中 进 出 井 场 的 车 辆 排 气 管 应 当 怎 么 做 ？,施工中进出井场的车辆排气管应该安装什么？
"[['施工车辆通过井场地面裸露的油、气管线及电缆时，煤层气企业', '应当', '采取防止碾压的保护措施']]",施 工 车 辆 通 过 井 场 地 面 裸 露 的 油 、 气 管 线 及 电 缆 时 ， 煤 层 气 企 业 应 当 采 取 什 么 措 施 ？,施工车辆通过井场地面裸露的油、气管线及电缆时，煤层气企业应当采取哪些保护措施来防止碾压？
"[['泵车操作', '应当', '平稳']]",泵 车 操 作 应 该 怎 么 做 ？,泵车操作时应该保持怎样的状态？
"[['泵车操作', '严禁', '无故换档或者停车']]",泵 车 操 作 严 禁 什 么 ？,泵车操作时严禁什么行为？
"[['出现故障必须停车时，操作人员', '应当', '及时通知指挥员采取措施']]",出 现 故 障 必 须 停 车 时 ， 操 作 人 员 应 当 做 些 什 么 ？,当出现故障必须停车时，操作人员应该采取什么行动？
"[['压裂期间，煤层气企业', '必须', '有专人监测剩余压裂液液面、支撑剂剩余量和供应情况']]",压 裂 期 间 ， 煤 层 气 企 业 必 须 做 什 么 ？,在压裂期间，煤层气企业必须进行哪些监测工作？
"[['压裂期间，煤层气企业', '应当', '确保连续供液和供砂']]",压 裂 期 间 ， 煤 层 气 企 业 应 当 做 什 么 ？,压裂期间，煤层气企业应当采取哪些措施来确保连续供液和供砂？
"[['加砂过程中，压力突然上升或者发生砂堵时，煤层气企业', '应当', '及时研究处理，不得强行憋压']]",加 砂 过 程 中 ， 压 力 突 然 上 升 或 者 发 生 砂 堵 时 ， 煤 层 气 企 业 应 当 如 何 处 理 ？,在加砂过程中，如果压力突然上升或遇到砂堵问题，煤层气企业应该如何及时研究和处理，避免强行憋压的情况发生？
"[['使用放射性示踪剂的', '应当', '按照有关规定采取相应的防护措施，并定期对放射性示踪剂的活度、存储装置是否完好进行检测，对接触人员进行体检。']]",使 用 放 射 性 示 踪 剂 的 应 当 注 意 什 么 ？,使用放射性示踪剂时需要注意哪些防护措施？
"[['压裂施工后，煤层气企业', '应当', '对设备的气路系统、液压系统、吸入排出系统、仪表系统、混合系统、柱塞泵、卡车、燃料系统等进行安全检查和维修保养。']]",压 裂 施 工 后 ， 煤 层 气 企 业 应 当 如 何 保 养 ？,压裂施工后，煤层气企业应该如何对设备进行保养？
"[['排采井场', '应当', '平整、清洁、无杂草']]",排 采 井 场 应 当 怎 么 做 ？,排采井场应当如何保持整洁和有序？
"[['排采井场', '应当', '井场周围应当设围栏，围栏高度不得低于1.7米，并有明确的警示标识']]",排 采 井 场 应 当 设 围 栏 吗 ？,排采井场是否需要设置围栏，围栏高度应达到多少，以及是否需要设置警示标识？
"[['排采井场', '应当', '井场内所有可能对人体产生碰伤、挤伤或者其他伤害的危险物体均应当涂以红色标记，以示警告']]",请 问 排 采 井 场 应 当 涂 以 什 么 ？,在排采井场，所有可能对人体造成伤害的危险物体都应当被涂上什么颜色以示警告？
"[['煤层气企业', '应当', '将排采沉淀池布置在井场围栏范围内']]",请 问 煤 层 气 企 业 应 当 做 什 么 ？,请问煤层气企业应当如何布置排采沉淀池？
"[['选择放空火炬的位置', '应当', '考虑当地全年主风向，置于全年最小频率风向的上风侧']]",你 知 道 选 择 放 空 火 炬 的 位 置 应 当 考 虑 什 么 吗 ？,选择放空火炬的位置时，应该考虑哪些因素？
"[['排采设备', '应当', '置于远离放空火炬的一侧摆放']]",排 采 设 备 应 当 怎 么 摆 放 ？,排采设备应该怎样正确摆放？
"[['发电机排气筒方向', '不得', '正对井口']]",发 电 机 排 气 筒 方 向 需 要 什 么 ？,发电机排气筒的方向有什么要求？
"[['煤层气企业', '应当', '定期用可燃气体检测仪检测阀门、管线是否漏气，发现漏气应当立即检修处理']]",煤 层 气 企 业 应 当 怎 么 做 ？,煤层气企业应当如何定期检测并处理漏气问题？
"[['气、水管线', '应当', '分别安装气、水阀门']]",气 、 水 管 线 应 当 如 何 安 装 ？,请问在安装气、水管线时，应该如何分别安装气、水阀门？
"[['气管线', '应当', '涂成黄色']]",气 管 线 应 当 怎 么 做 ？,请问气管线应当如何涂色？
"[['水管线', '应当', '涂成绿色']]",水 管 线 应 当 怎 么 做 ？,水管线应该涂成什么颜色？
"[['煤层气企业', '应当', '定期检查气水分离器（如有）的阀门、安全阀是否灵活好用']]",请 问 煤 层 气 企 业 应 当 怎 么 做 ？,请问煤层气企业应该如何定期检查气水分离器（如有）的阀门、安全阀是否灵活好用？
"[['煤层气企业', '应当', '对气水分离器（如有）定期排水']]",煤 层 气 企 业 应 当 如 何 排 水 ？,煤层气企业应该如何对气水分离器进行定期排水？
"[['抽油机的安装', '应当符合', '地基夯实，水泥基础坐落在土质均匀的原土上，冰冻地区应当开挖至冰冻层以下']]",抽 油 机 的 安 装 符 合 什 么 ？,抽油机的安装需要符合哪些具体要求？
"[['抽油机的安装', '应当符合', '基础表面没有裂纹、变形现象']]",抽 油 机 的 安 装 应 当 符 合 什 么 ？,抽油机的安装应当符合哪些标准？
"[['抽油机的安装', '应当符合', '抽油机底座与基础墩接触面紧密贴实，地角螺栓不得悬空']]",抽 油 机 的 安 装 应 当 符 合 什 么 ？,抽油机的安装应当满足哪些具体要求？
"[['抽油机的安装', '应当符合', '平衡块与曲柄的装配面及曲柄燕尾槽内严禁夹入杂物']]",抽 油 机 的 安 装 应 当 符 合 什 么 ？,抽油机的安装应当符合哪些标准？
"[['抽油机启动前，煤层气企业', '应当', '确保抽油机各部位牢固可靠、刹车及皮带松紧适宜、供电系统正常']]",抽 油 机 启 动 前 ， 煤 层 气 企 业 应 当 做 些 什 么 ？,在启动抽油机之前，煤层气企业需要做哪些准备工作以确保抽油机的安全运行？
"[['工作人员巡检时', '应当', '与抽油机保持一定的安全距离，刹车操作后应当合上保险装置']]",工 作 人 员 巡 检 时 应 当 注 意 什 么 ？,巡检时，工作人员需要注意哪些安全事项？
"[['抽油机运转或者未停稳时', '不得', '接触、靠近抽油机的运转部位，也不得进行润滑、加油或者调整皮带等操作']]",抽 油 机 运 转 或 者 未 停 稳 时 不 得 接 触 什 么 ？,抽油机运转或者未停稳时，我们不能接触哪些部位呢？
"[['进行调整冲程、更换悬绳器等高空作业时，操作人员', '应当', '系好安全带并站稳']]",进 行 调 整 冲 程 、 更 换 悬 绳 器 等 高 空 作 业 时 ， 操 作 人 员 应 当 如 何 ？,在进行调整冲程、更换悬绳器等高空作业时，操作人员应当如何确保安全？
"[['更换井口装置时，煤层气企业', '应当', '在施工现场配备防火、防爆设施']]",更 换 井 口 装 置 时 ， 煤 层 气 企 业 应 当 注 意 什 么 ？,更换井口装置时，煤层气企业应当在施工现场配备哪些防火、防爆设施？
"[['割焊井口时，煤层气企业', '必须', '制定相应的安全技术措施']]",割 焊 井 口 时 ， 煤 层 气 企 业 必 须 具 备 什 么 ？,割焊井口时，煤层气企业必须具备哪些安全技术措施？
"[['螺杆泵设备运行期间', '应当', '各连接部位无松动']]",螺 杆 泵 设 备 运 行 期 间 应 该 怎 么 做 ？,螺杆泵设备在运行期间，应当如何确保各连接部位无松动？
"[['螺杆泵设备运行期间', '应当', '减速箱不漏（缺）油']]",螺 杆 泵 设 备 运 行 期 间 应 当 注 意 什 么 ？,螺杆泵设备在运行期间需要注意哪些事项以避免减速箱漏油或缺油？
"[['螺杆泵设备运行期间', '应当', '皮带无松弛']]",螺 杆 泵 设 备 运 行 期 间 应 当 注 意 什 么 ？,螺杆泵设备在运行期间需要注意哪些事项？
"[['螺杆泵设备运行期间', '应当', '光杆不下滑']]",螺 杆 泵 设 备 运 行 期 间 应 当 注 意 什 么 ？,螺杆泵设备在运行期间需要注意什么？
"[['螺杆泵设备运行期间', '应当', '机体无过热现象']]",螺 杆 泵 设 备 运 行 期 间 应 当 注 意 什 么 ？,螺杆泵设备在运行期间需要注意哪些问题以避免机体过热？
"[['欠载跳闸时，工作人员', '应当', '排除方卡子松动、传动部分打滑、断杆卸载等原因后方可开机']]",欠 载 跳 闸 时 ， 工 作 人 员 应 当 怎 么 做 ？,欠载跳闸时，工作人员应当如何处理？
"[['过载跳闸时', '应当', '排除短路、缺相现象后方可开机']]",过 载 跳 闸 时 应 当 怎 么 做 ？,过载跳闸时，我们应该先排除哪些问题才能重新开机？
"[['排采设备的控制柜', '应当', '有防护措施']]",你 知 道 排 采 设 备 的 控 制 柜 应 当 做 什 么 吗 ？,请问排采设备的控制柜应当具备哪些防护措施？
"[['埋地电缆处', '应当', '有明显标记']]",埋 地 电 缆 处 应 当 有 什 么 标 记 ？,请问埋地电缆处应当有什么明显的标记？
"[['测量电潜泵机组参数时，测量人员', '必须', '把控制柜总电源断开，并悬挂警示牌']]",请 问 测 量 电 潜 泵 机 组 参 数 时 ， 测 量 人 员 必 须 做 到 哪 些 ？,测量电潜泵机组参数时，测量人员必须采取哪些安全措施？
"[['电潜泵停机时', '不得', '带负荷拉闸']]",电 潜 泵 停 机 时 要 求 你 什 么 ？,电潜泵停机时有哪些注意事项？
"[['电潜泵出现故障停机时，如未查明原因并排除故障', '不得', '二次启动']]",电 潜 泵 出 现 故 障 停 机 时 ， 如 未 查 明 原 因 并 排 除 故 障 怎 么 办 ？,电潜泵出现故障停机时，如果未查明原因并排除故障，应该如何处理？
"[['动液面测试前', '必须', '在关闭套管阀门并释放压力后，方可安装井口连接器']]",动 液 面 测 试 前 必 须 安 装 哪 些 设 备 ？,在进行动液面测试前，必须先安装哪些设备？
